Indicator Number,Indicator,ShortName,Section,API,pull
175,Number of Community Managed Open Spaces,cmosXX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Cmos/FeatureServer,1
176,Median Daily Water Consumption,watercXX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Waterc/FeatureServer,0
177,"Number of Downspout Disconnections per 1,000 Residences",,Sustainability,,0
178,Number of Public Trashcans,,Sustainability,,0
179,"Rate of Sewer/Water Main Breaks per 1,000 Residents",,Sustainability,,0
180,Natural gas utilization,,Sustainability,,0
181,Energy Use,,Sustainability,,0
182,Percent of Residences Heated by Utility Gas,heatgasXX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Heatgas/FeatureServer,1
183,Percent of Residences Heated by Electricity,elheatXX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Elheat/FeatureServer,1
184,Percent of Households with No Vehicles Available,novhclXX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Novhcl/FeatureServer,1
185,Number of Photovoltaic/Solar Permits,,Sustainability,,0
186,Percent of Homes Weatherized,weatherXX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Weather/FeatureServer,0
187,Walk Score,wlkscXX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Wlksc/FeatureServer,1
188,Aggregate Number of Community Assets,,Sustainability,,0
189,"Number of daily bus stop loadings per 1,000 residents",busloadXX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Busload/FeatureServer,1
190,"Number of Bike Racks per 1,000 Residents",,Sustainability,,0
191,Road Quality,,Sustainability,,0
192,Number of Miles of Bike Lanes,bklnXX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Bkln/FeatureServer,1
193,Percent of persons by occupation classification (major classifications),,Workforce and Economic Development,,0
194,"Percent of Population Using Other Means to Commute to Work (Taxi, Motorcycle, Bicycle, Other)",othrcomXX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Othercom/FeatureServer,0
195,Number of Students Officially Enrolled in 1st - 5th Grade,eenrolXX,Education and Youth,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Eenrol/FeatureServer,0
196,Number of Students Officially Enrolled in 6th - 8th Grade,menrolXX,Education and Youth,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Menrol/FeatureServer,0
197,Number of Students Officially Enrolled in 9th - 12th Grade,hsenrolXX,Education and Youth,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Hsenrol/FeatureServer,0
198,Average Healthy Food Availability Index,hfaiXX,Children and Family Health,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Hfai/FeatureServer,1
199,Number of Trees Planted,treeplntXX,Sustainability,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Treeplnt/FeatureServer,0
200,"Rate of Housing Vouchers per 1,000 Rental Units",hcvhouseXX,Housing and Community Development,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Hcvhouse/FeatureServer,1
201,"Rate of Businesses in the Creative Economy per 1,000 Residents",cebusXX,Arts and Culture,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Cebus/FeatureServer,0
202,Number of Employees in the Creative Economy,ceempXX,Arts and Culture,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Ceemp/FeatureServer,0
203,Number of Public Murals,muralsXX,Arts and Culture,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Murals/FeatureServer,0
204,Number of Total Jobs Filled by Employees ,totjobsXX,Workforce and Economic Development,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Totjobs/FeatureServer,0
205,"Number of Arrests per 1,000 Residents",arrestXX,Crime and Safety,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Arrests/FeatureServer,1
206,Percentage of 3rd Grade Students who Met or Exceeded PARCC Math,pmath3XX,Education and Youth,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Pmath3/FeatureServer,1
207,Percentage of 3rd Grade Students who Met or Exceeded PARCC Reading,pread3XX,Education and Youth,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Pread3/FeatureServer,1
208,Percentage of 5th Grade Students who Met or Exceeded PARCC Math,pmath5XX,Education and Youth,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Pmath5/FeatureServer,1
209,Percentage of 5th Grade Students who Met or Exceeded PARCC Reading,pread5XX,Education and Youth,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Pread5/FeatureServer,1
210,Percentage of 8th Grade Students who Met or Exceeded PARCC Math,pmath8XX,Education and Youth,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Pmath8/FeatureServer,1
211,Percentage of 8th Grade Students who Met or Exceeded PARCC Reading,pread8XX,Education and Youth,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Pread8/FeatureServer,1
212,Percentage of Students who Met or Exceeded PARCC Algebra I,palg1XX,Education and Youth,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Palg1/FeatureServer,1
213,Percentage of Students who Met or Exceeded PARCC Algebra II,palg2XX,Education and Youth,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Palg2/FeatureServer,1
214,Kindergarten Readiness,kraXX,Education and Youth,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Kra/FeatureServer,1
215,"Rate of Street Light Outages per 1,000 Residents",lightsXX,Crime and Safety,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Lights/FeatureServer,0
